BookID,FirstName,MiddleNames,LastName,Role
13258,Barbara,A,Mowat,Editor
13258,William,,Shakespheare,Author
13258,Paul,,Werstine,Editor
13259,Barbara,A,Mowat,Editor
13259,William,,Shakespheare,Author
13259,Paul,,Werstine,Editor
13260,Barbara,A,Mowat,Editor
13260,William,,Shakespheare,Author
13260,Paul,,Werstine,Editor
13261,Barbara,A,Mowat,Editor
13261,William,,Shakespheare,Author
13261,Paul,,Werstine,Editor
13262,Barbara,A,Mowat,Editor
13262,William,,Shakespheare,Author
13262,Paul,,Werstine,Editor
13263,Barbara,A,Mowat,Editor
13263,William,,Shakespheare,Author
13263,Paul,,Werstine,Editor
13264,Barbara,A,Mowat,Editor
13264,William,,Shakespheare,Author
13264,Paul,,Werstine,Editor
13265,Barbara,A;,Mowat,Editor
13265,William,,Shakespheare,Author
13265,Paul,,Werstine,Editor
13266,Barbara,A,Mowat,Editor
13266,William,,Shakespheare,Author
13266,Paul,,Werstine,Editor
13267,Barbara,A,Mowat,Editor
13267,William,,Shakespheare,Author
13267,Paul,,Werstine,Editor
13268,Barbara,A,Mowat,Editor
13268,William,,Shakespheare,Author
13268,Paul,,Werstine,Editor
13269,Barbara,A,Mowat,Editor
13269,William,,Shakespheare,Author
13269,Paul,,Werstine,Editor
13270,Barbara,A,Mowat,Editor
13270,William,,Shakespheare,Author
13270,Paul,,Werstine,Editor
13271,Barbara,A,Mowat,Editor
13271,William,,Shakespheare,Author
13271,Paul,,Werstine,Editor
13272,Barbara,A,Mowat,Editor
13272,William,,Shakespheare,Author
13272,Paul,,Werstine,Editor
13273,Barbara,A;,Mowat,Editor
13273,William,,Shakespheare,Author
13273,Paul,,Werstine,Editor
13274,Barbara,A,Mowat,Editor
13274,William,,Shakespheare,Author
13274,Paul,,Werstine,Editor
13275,Barbara,A,Mowat,Editor
13275,William,,Shakespheare,Author
13275,Paul,,Werstine,Editor
13276,Barbara,A,Mowat,Editor
13276,William,,Shakespheare,Author
13276,Paul,,Werstine,Editor
13277,Barbara,A,Mowat,Editor
13277,William,,Shakespheare,Author
13277,Paul,,Werstine,Editor
13278,Barbara,A,Mowat,Editor
13278,William,,Shakespheare,Author
13278,Paul,,Werstine,Editor
13279,Barbara,A,Mowat,Editor
13279,William,,Shakespheare,Author
13279,Paul,,Werstine,Editor
13280,Barbara,A,Mowat,Editor
13280,William,,Shakespheare,Author
13280,Paul,,Werstine,Editor
13281,Barbara,A,Mowat,Editor
13281,William,,Shakespheare,Author
13281,Paul,,Werstine,Editor
13282,Barbara,A,Mowat,Editor
13282,William,,Shakespheare,Author
13282,Paul,,Werstine,Editor
13283,Barbara,A,Mowat,Editor
13283,William,,Shakespheare,Author
13283,Paul,,Werstine,Editor
13284,Barbara,A,Mowat,Editor
13284,William,,Shakespheare,Author
13284,Paul,,Werstine,Editor
13288,L,Frank,Baum,Author
13289,L,Frank,Baum,Author
13290,L,Frank,Baum,Author
13291,L,Frank,Baum,Author
13292,L,Frank,Baum,Author
13293,D,J,MacHale,Author
13294,D,J,MacHale,Author
13295,D,J,MacHale,Author
13296,D,J,MacHale,Author
13297,D,J,MacHale,Author
13298,D,J,MacHale,Author
13299,D,J,MacHale,Author
13300,D,J,MacHale,Author
13301,D,J,MacHale,Author
13302,D,J,MacHale,Author
13303,Rick,,Riordan,Author
13304,Rick,,Riordan,Author
13305,Rick,,Riordan,Author
13306,Rick,,Riordan,Author
13309,Dan,,Brown,Author
13310,Dan,,Brown,Author
13311,Dan,,Brown,Author
13312,Dan,,Brown,Author
13313,Arthur,C,Clarke,Author
13314,Jerry,B,Jenkins,Author
13315,Jerry,B,Jenkins,Author
13316,Jerry,B,Jenkins,Author
13317,Gregory,,Maguire,Author
13340,Mark,C,Murphy,Author
13341,Sakae,,Kubo,Author
13342,Erwin,,Panofsky,Author
13343,Dante,,Alighieri,Author
13343,Allen,,Mandelbaum,Translator
13344,J,M,Barrie,Author
13345,Andrew,,Edney,Author
13345,David,,Taylor,Author
13347,George,,Orwell,Author
13348,Sarah,,Young,Author
13349,V,S,Naipaul,Author
13350,Charles,,Dickens,Author
13351,Al,,Fasol,Author
13352,Mark,,Twain,Author
13353,Abraham,Hendrik,Jagersma,Author
13354,Jeffrey,D,Ullman,Author
13355,Brennan,,Manning,Author
13356,Choon,Leong,Seow,Author
13357,Charles,,Dickens,Author
13358,Verlyn,D,Verbrugge,Author
13359,Johanna,,Lindsey,Author
13360,Abdul,Rahman,Ansary,Author
13361,Jerry,,Vines,Author
13362,Cyril,F,Carr,Author
13362,Douglas,L,Busby,Author
13362,Terry,A,Armstrong,Author
13363,Edward,Morgan,Forster,Author
13364,John,,Knowles,Author
13365,Timothy,,Corrigan,Author
13366,Glyn,Edmund,Daniel,Author
13367,Tennessee,,Williams,Author
13368,Paul,D,Wegner,Author
13369,Larry,A,Mitchel,Author
13370,Kenneth,Moore,Startup,Author
13370,Samuel,Ray,Granade,Author
13370,C,Fred,Williams,Author
13371,Charles,,Dickens,Author
13372,Joanna,,Strong,Author
13372,Hubert,,Whatley,Author
13373,Sheri,L,Johnson,Author
13373,John,M,Neale,Author
13373,Gerald,C,Davidson,Author
13373,Ann,M,Kring,Author
13374,Constantine,R,Campbell,Author
13375,Bogdan,,Brinzarea,Author
13375,Cristian,,Darie,Author
13376,Lewis,,Carroll,Author
13377,Richard,,Erdoes,Author
13377,Alfonso,,Ortiz,Author
13378,William,A,Ross,Author
13378,Daniel,J,Brendsel,Author
13378,G,K,Beale,Author
13379,Ian,O,Whishaw,Author
13379,Bryan,,Kolb,Author
13380,Jeffrey,J,McConnell,Author
13381,George,,Orwell,Author
13382,B,M,Mooyaart,Translator
13382,Anne,,Frank,Author
13383,L,M,Montgomery,Author
13384,Karel,,Rataj,Author
13384,R,,Zukal,Author
13385,Margaret,Kim,Peterson,Author
13385,Dwight,N,Peterson,Author
13386,Jules,,Verne,Author
13387,Stuart,J,Russell,Author
13387,Peter,,Norvig,Author
13388,Robert,H,Ferrell,Author
13388,Richard,,Natkiel,Author
13389,Rosamond,,McKitterick,Author
13390,John,,Haywood,Author
13391,Charles,S,Kelley,Author
13391,Richard,D,Land,Author
13391,Albert,,Mohler,Author
13393,William,D,Mounce,Author
13394,William,D,Mounce,Author
13395,Constantine,R,Campbell,Author
13396,Ron,,Luce,Author
13397,Steven,J,Sexton,Author
13398,John,C,Maxwell,Author
13398,Jim,,Dornan,Author
13399,Michael,,Dawson,Author
13400,Peter,,Cooper,Author
13401,R,K,Gordon,Translator
13402,Christopher,D,Hudson,Author
13402,David,,Barrett,Author
13404,J,Scott,Duvall,Author
13404,George,H,Guthrie,Author
13405,Haddon,W,Robinson,Author
13406,Herman,,Melville,Author
13407,Christine,,Evers,Author
13407,Cecie,,Starr,Author
13407,Lisa,,Starr,Author
13407,Ralph,,Taggart,Author
13408,Richard,,Wright,Author
13409,William,J,Bennett,Editor
13410,Evelyn,,Waugh,Author
13411,Caroline,Joyce,Simon,Author
13412,Michael,K,Haynes,Author
13413,Christopher,Paul,Curtis,Author
13414,Robert,,Dale,Author
13414,Ehud,,Reiter,Author
13415,Thomas,,Bulfinch,Author
13416,Jeremy,,Keith,Author
13417,Dee,,Brown,Author
13418,James,M,Burrow,Author
13418,Kenneth,E,Everard,Author
13419,Michael,,Green,Author
13420,Geoffrey,,Chaucer,Author
13421,Eben,,Hewitt,Author
13422,Richard,J,Foster,Author
13423,George,,Bain,Author
13424,Iain,,Bain,Author
13425,Robert,D,Hanson,Author
13425,Claudia,Bienias,Gilbertson,Author
13425,Kenton,E,Ross,Author
13425,Mark,W,Lehman,Author
13426,Robert,D,Hanson,Author
13426,Claudia,Bienias,Gilbertson,Author
13426,Kenton,E,Ross,Author
13426,Mark,W,Lehman,Author
13427,David,P,Gushee,Author
13428,Mark,W,Wilson,Author
13429,C,Marvin,Pate,Author
13430,Philip,,Yancey,Author
13431,Henry,David,Thoreau,Author
13432,David,C,Parker,Author
13433,Robert,,Blitzer,Author
13435,Matthew,,Henry,Author
13436,Thomas,,Paine,Author
13437,H,P,Lovecraft,Author
13438,Warren,C,Trenchard,Author
13439,Keith,W,Ross,Author
13439,James,F,Kurose,Author
13440,Robert,W,Sebesta,Author
13441,Robert,C,Weast,Author
13441,Samuel,M,Selby,Author
13442,Jane,,Resnick,Author
13443,Fyodor,,Dostoyevsky,Author
13443,Constance,,Garnett,Translator
13445,Frank,M,Carrano,Author
13445,Janet,J,Prichard,Author
13446,Paul,"A,T",Wolfgang,Author
13446,Elliot,B,Koffman,Author
13447,Willa,,Cather,Author
13449,Verlyn,D,Verbrugge,Author
13449,J,Scott,Duvall,Author
13450,Anuja,,Dharkar,Author
13450,Scott,,Tapley,Author
13450,Dale,,Underwood,Author
13451,Miguel,de,Cervantes,Author
13452,John,,Steinbach,Author
13453,E,"A,Wallis",Budge,Author
13455,Cornelius,,Plantinga,Author
13456,Samuel,,Lamerson,Author
13457,Bernard,J,Nebel,Author
13458,Leonard,,Bernstein,Author
13458,Alan,,Winkler,Author
13458,Linda,,Zierdt-Warshaw,Author
